lead_id,first_name,last_name,email,title,created_date,lead_age_days,company_name,industry,employee_count,employee_count_bucket,annual_revenue,annual_revenue_bucket,tech_stack,hq_location,total_engagements,unique_engagement_types,last_engagement_date,target,score
1,Betty,Ross,xbrooks@anderson.net,"Civil engineer, contracting",2025-06-02,14,Potter Inc,Retail,3863,Large,61.14,Low,Salesforce,East Monicashire,1,1,2025-05-28 05:53:56.000,0,0.0
37,Darlene,Gilmore,nicolerivera@baker.org,Clinical embryologist,2025-02-28,108,"Taylor, Newman and Whitehead",Finance,3992,Large,70.58,Low,SAP,Port Jeffery,2,2,2025-05-06 23:24:13.000,0,0.03
39,Amanda,Anderson,lkey@gmail.com,Metallurgist,2025-02-28,108,Ward-Gray,Healthcare,1992,Large,95.73,Low,Oracle,Potterberg,4,4,2025-04-05 05:16:59.000,1,0.98
76,Gina,Kirk,walterford@hotmail.com,Community education officer,2025-05-26,21,"English, Shaffer and Morales",Manufacturing,3520,Large,9.01,Low,Marketo,Port Johnbury,3,3,2025-04-27 00:48:03.000,0,0.0
84,Tyler,Burnett,rebeccamoore@reeves.com,"Clinical scientist, histocompatibility and immunogenetics",2025-04-29,48,Rogers-Wilkins,Healthcare,557,Large,67.79,Low,Oracle,New Danielfort,3,3,2025-05-14 05:07:56.000,0,0.0
86,Christopher,Dunn,jamestaylor@hotmail.com,Counsellor,2025-03-14,94,Jacobson PLC,Retail,4824,Large,33.96,Low,Oracle,Mannport,3,2,2025-06-01 07:05:42.000,0,0.08
98,Howard,Long,gonzaleskimberly@williams-miller.com,Financial planner,2025-02-28,108,Gardner-Mays,Retail,1026,Large,25.96,Low,Marketo,North Amandastad,5,3,2025-05-08 17:38:51.000,1,1.0
115,Victoria,Sanchez,vsmith@sweeney.com,Insurance account manager,2025-03-26,82,"Cruz, Boone and Griffin",Healthcare,3484,Large,79.91,Low,Salesforce,New Jasonland,2,2,2025-03-29 15:42:06.000,0,0.0
116,Lisa,Dominguez,angelatorres@combs.com,Animal technologist,2025-04-16,61,Edwards-Shaw,Retail,2442,Large,36.44,Low,Salesforce,Alexandertown,4,3,2025-05-24 13:22:16.000,1,0.99
128,Chelsea,Lewis,treeves@murphy.com,Games developer,2025-01-29,138,"English, Shaffer and Morales",Manufacturing,3520,Large,9.01,Low,Marketo,Port Johnbury,3,3,2025-05-26 02:44:27.000,0,0.01
217,Jesus,Miller,zbaker@dyer.org,"Scientist, clinical (histocompatibility and immunogenetics)",2025-02-22,114,Stewart Inc,Retail,3370,Large,39.61,Low,Marketo,Gomezborough,2,1,2025-04-21 02:54:16.000,0,0.06
264,Marvin,Hall,leekim@hotmail.com,Retail banker,2025-03-30,78,Phillips Group,Manufacturing,948,Large,92.54,Low,Salesforce,Shaffershire,2,2,2025-04-15 23:46:40.000,0,0.0
434,Donna,Anderson,jillbrown@christensen-camacho.info,"Production designer, theatre/television/film",2025-03-21,87,"Wilcox, Cox and Newton",Retail,4392,Large,95.42,Low,Oracle,Shannonton,1,1,2025-03-16 22:12:06.000,0,0.05
73,Mark,Shah,nwarren@perez.com,Armed forces training and education officer,2025-01-22,145,Stewart Inc,Retail,3370,Large,39.61,Low,Marketo,Gomezborough,4,3,2025-05-28 10:54:07.000,1,0.99
239,Christian,Carpenter,georgejohnson@hotmail.com,Training and development officer,2025-01-09,158,Ortiz and Sons,Manufacturing,828,Large,85.71,Low,Oracle,Jacksonburgh,5,2,2025-06-02 02:24:30.000,1,0.98
114,Miguel,Fritz,janealvarez@gmail.com,Field trials officer,2025-01-02,165,"Wilcox, Cox and Newton",Retail,4392,Large,95.42,Low,Oracle,Shannonton,1,1,2025-04-30 03:43:14.000,0,0.02
172,Angela,Irwin,leslie91@hotmail.com,Logistics and distribution manager,2025-05-13,34,Collins-Hall,Manufacturing,4080,Large,63.76,Low,Marketo,Brownland,2,2,2025-05-09 21:09:02.000,0,0.0
247,Jacob,Gomez,ashley45@gmail.com,Contracting civil engineer,2025-05-24,23,Horn Ltd,Retail,2837,Large,53.64,Low,HubSpot,Lake Erika,2,2,2025-05-29 09:51:24.000,0,0.01
280,Caleb,Zimmerman,dylansanchez@yahoo.com,Production manager,2025-02-05,131,Jacobson PLC,Retail,4824,Large,33.96,Low,Oracle,Mannport,1,1,2025-04-02 23:15:16.000,0,0.03
286,Kelly,Knight,benderdustin@gmail.com,Geophysicist/field seismologist,2025-03-03,105,Sullivan Inc,Manufacturing,3979,Large,28.56,Low,Salesforce,Lake Pamelaside,3,3,2025-05-15 00:59:37.000,0,0.03
292,Kenneth,Jordan,lopezmichael@campbell.com,Immunologist,2025-03-03,105,Hale Ltd,Manufacturing,2176,Large,25.78,Low,Salesforce,Brownside,4,3,2025-05-14 05:05:49.000,1,0.98
303,Jacqueline,Phelps,wcline@gmail.com,Trade mark attorney,2025-02-17,119,Lopez Ltd,Finance,3295,Large,7.4,Low,Oracle,Tamarafurt,1,1,2025-05-02 10:04:56.000,0,0.02
366,James,Cruz,fzhang@gmail.com,Ophthalmologist,2025-04-21,56,Rivers Inc,Technology,686,Large,53.66,Low,Salesforce,Rogersshire,1,1,2025-04-14 19:32:48.000,0,0.01
522,Terry,Horne,foxrichard@howard.biz,Clinical cytogeneticist,2025-06-01,15,"Cohen, Mckenzie and Vega",Technology,388,Large,36.1,Low,Oracle,Flowersview,1,1,2025-04-26 12:09:26.000,0,0.03
785,Jonathan,Sullivan,morgan84@caldwell.net,"Engineer, civil (consulting)",2025-05-14,33,Jacobson PLC,Retail,4824,Large,33.96,Low,Oracle,Mannport,1,1,2025-04-30 13:53:12.000,0,0.03
935,Tiffany,Jones,theresapham@garcia.com,"Production assistant, television",2025-02-11,125,"Taylor, Pham and Hancock",Technology,385,Large,5.22,Low,HubSpot,East Teresaport,1,1,2025-02-14 01:40:48.000,0,0.03
960,Joseph,Kelly,rgamble@yahoo.com,Museum education officer,2025-02-07,129,Edwards-Shaw,Retail,2442,Large,36.44,Low,Salesforce,Alexandertown,5,3,2025-06-07 05:09:35.000,1,0.98
971,Taylor,Harper,kcook@case.info,Counselling psychologist,2025-01-25,142,Rivers Inc,Technology,686,Large,53.66,Low,Salesforce,Rogersshire,5,3,2025-05-27 07:22:15.000,1,0.98
347,Timothy,Bond,dmiller@gmail.com,"Development worker, international aid",2025-04-19,58,"Edwards, Schmidt and Newton",Manufacturing,2263,Large,36.87,Low,HubSpot,Jasonville,3,3,2025-04-19 09:44:53.000,0,0.0
378,Donald,Green,kevin17@hotmail.com,Financial planner,2025-05-12,35,Osborne Ltd,Retail,1220,Large,64.66,Low,SAP,Diazberg,3,3,2025-05-17 23:05:44.000,0,0.02
517,Scott,Harris,justin11@gmail.com,Sport and exercise psychologist,2025-02-15,121,Wilson Inc,Manufacturing,1066,Large,81.28,Low,SAP,Suttonfort,1,1,2025-01-07 20:31:16.000,0,0.03
535,Molly,Dorsey,charlottehoward@yahoo.com,Futures trader,2025-05-23,24,Hale Ltd,Manufacturing,2176,Large,25.78,Low,Salesforce,Brownside,4,3,2025-05-14 09:48:04.000,1,0.93
570,Renee,Atkins,stevenwagner@singh-sexton.com,"Surveyor, insurance",2025-05-27,20,"Phillips, Krause and Roberts",Retail,263,Large,67.06,Low,Marketo,North Jessica,2,2,2025-06-06 09:49:18.000,0,0.05
583,Ryan,Russell,thomaskathryn@yahoo.com,"Administrator, arts",2025-05-08,39,Stone LLC,Retail,2295,Large,86.39,Low,HubSpot,Adamsfurt,4,2,2025-05-29 06:24:44.000,1,0.97
552,Elizabeth,Hamilton,pwhite@mejia.net,"Therapist, nutritional",2025-03-01,107,Ramos LLC,Healthcare,4938,Large,74.96,Low,HubSpot,South Dalefurt,2,2,2025-05-21 20:27:50.000,0,0.0
709,Nancy,Smith,josephsmith@gmail.com,Systems analyst,2025-01-29,138,"Brown, Townsend and Chase",Retail,1060,Large,79.77,Low,Marketo,South Coreychester,3,3,2025-04-25 17:13:12.000,0,0.01
716,Jesse,Gilbert,brett30@yahoo.com,"Engineer, structural",2025-03-06,102,Gomez PLC,Finance,2906,Large,62.0,Low,Salesforce,Christophertown,4,3,2025-06-02 23:38:52.000,1,0.97
737,John,Reyes,hollyrhodes@hotmail.com,Location manager,2025-01-11,156,Powers LLC,Healthcare,309,Large,16.51,Low,Oracle,Johnport,3,2,2025-06-03 13:52:56.000,0,0.06
839,Ashley,Stark,jonesryan@martin.org,"Production designer, theatre/television/film",2025-02-08,128,Johnson-King,Retail,4542,Large,2.82,Low,SAP,Port Hailey,5,2,2025-06-04 05:53:53.000,1,0.96
928,Jonathan,Winters,rachel17@yahoo.com,Museum/gallery exhibitions officer,2025-04-08,69,Rogers-Wilkins,Healthcare,557,Large,67.79,Low,Oracle,New Danielfort,2,2,2025-03-11 17:46:08.000,0,0.09
929,Douglas,Ortiz,callahanshaun@yahoo.com,Medical sales representative,2025-02-21,115,Wells-Freeman,Manufacturing,107,Medium,60.39,Low,Oracle,West Tanya,2,2,2025-05-15 03:18:45.000,0,0.02
966,Brian,Randolph,agreen@yahoo.com,Legal executive,2025-03-01,107,Blackwell Inc,Healthcare,3847,Large,12.8,Low,HubSpot,Jerryborough,2,2,2025-04-17 02:26:09.000,0,0.02
773,Matthew,Benton,justin78@hanson.com,"Geneticist, molecular",2025-01-31,136,Torres-Taylor,Retail,4358,Large,91.26,Low,Salesforce,Melissatown,3,2,2025-05-13 02:00:54.000,0,0.02
938,Kimberly,Jones,xmartinez@moore.biz,Transport planner,2025-04-30,47,Lynch Group,Healthcare,2840,Large,25.65,Low,HubSpot,North Stevenville,5,2,2025-06-08 03:02:44.000,1,0.95
147,Susan,Smith,marcus73@osborne-hernandez.com,Television production assistant,2025-02-06,130,"Phillips, Krause and Roberts",Retail,263,Large,67.06,Low,Marketo,North Jessica,4,2,2025-05-12 12:54:23.000,1,0.88
560,Abigail,Pollard,tonyablack@gmail.com,Furniture designer,2025-05-12,35,"Gilmore, Bowman and Rose",Healthcare,2217,Large,8.88,Low,Marketo,Robertshire,1,1,2025-03-18 08:02:53.000,0,0.01
645,Timothy,Johnson,angelamartinez@deleon.com,"Surveyor, mining",2025-05-18,29,Burch-Barron,Retail,579,Large,15.81,Low,SAP,North Tannerberg,5,4,2025-05-14 11:22:27.000,1,1.0
902,Jerry,Snyder,zclark@brown.com,Newspaper journalist,2025-02-13,123,"Wilson, Hatfield and Barrera",Finance,2445,Large,42.86,Low,Salesforce,North Jacob,5,3,2025-05-20 21:27:34.000,1,0.99
950,Joshua,Lynch,beckyhunt@yahoo.com,"Designer, exhibition/display",2025-04-01,76,Lopez Ltd,Finance,3295,Large,7.4,Low,Oracle,Tamarafurt,5,3,2025-04-21 20:36:35.000,1,0.99
55,Miranda,Page,jonathancarpenter@hotmail.com,Television floor manager,2025-05-14,33,"Michael, Wilson and Chavez",Healthcare,4839,Large,35.0,Low,Salesforce,Taylorborough,5,4,2025-06-02 14:34:25.000,1,0.99
149,Beverly,Moreno,ashleyflynn@gmail.com,Press sub,2025-04-12,65,Sharp Ltd,Retail,798,Large,82.08,Low,SAP,Port Kristen,3,2,2025-03-21 23:51:45.000,0,0.01
288,Daniel,Perez,bharris@chambers-wells.com,Oceanographer,2025-02-22,114,Diaz-Reese,Healthcare,627,Large,18.93,Low,Oracle,Kellychester,3,3,2025-03-30 23:44:19.000,0,0.01
314,Zachary,Schultz,emilyjefferson@hotmail.com,"Teacher, music",2025-03-18,90,James-Flores,Technology,2499,Large,84.55,Low,HubSpot,Laurieville,1,1,2025-05-19 07:46:56.000,0,0.02
417,Brian,Kelly,vpowell@hall.com,Osteopath,2025-02-18,118,"Tucker, Rivas and Wilson",Retail,2978,Large,79.96,Low,SAP,East Davidhaven,5,4,2025-04-21 16:06:34.000,1,0.96
430,Ryan,Miller,andrewweber@jones.info,"Buyer, retail",2025-04-15,62,Torres Ltd,Manufacturing,4464,Large,47.4,Low,Salesforce,Fischermouth,5,3,2025-06-07 22:22:27.000,1,0.9
446,Justin,Gonzalez,robertruiz@yahoo.com,"Engineer, civil (contracting)",2025-01-31,136,Arroyo PLC,Healthcare,3108,Large,44.24,Low,SAP,East Jacobland,5,2,2025-04-09 13:28:36.000,1,0.95
551,Sean,Moore,kimberlymurphy@yahoo.com,Theatre manager,2025-05-16,31,Campbell Inc,Healthcare,2560,Large,15.33,Low,Oracle,Robertton,1,1,2025-03-29 07:47:19.000,0,0.07
562,Jessica,Oliver,griffithmonica@gmail.com,Toxicologist,2025-01-01,166,"Carpenter, Tate and Glenn",Technology,2302,Large,27.61,Low,Oracle,East Lauren,2,2,2025-06-01 12:46:40.000,0,0.01
567,Andrea,Farmer,michaelwright@vega.com,Risk manager,2025-02-27,109,Cooley Group,Manufacturing,1659,Large,2.29,Low,SAP,Nicholasville,5,4,2025-06-04 03:55:13.000,1,0.92
585,Amy,Anderson,emilyvelasquez@yahoo.com,Administrator,2025-03-11,97,"Robinson, Nielsen and Horne",Finance,1735,Large,91.39,Low,SAP,Smithside,3,2,2025-04-05 23:34:42.000,0,0.08
506,Kimberly,Hill,caitlynharris@johnson-lopez.com,Insurance risk surveyor,2025-01-06,161,"Mccoy, Waller and Rodriguez",Technology,1425,Large,29.06,Low,HubSpot,Lake Amy,4,3,2025-06-06 10:11:42.000,1,0.98
574,Derek,Foster,gfisher@hotmail.com,Systems analyst,2025-05-23,24,Zamora-Pennington,Finance,1189,Large,9.56,Low,Oracle,Joshuatown,3,2,2025-03-04 21:07:57.000,0,0.01
611,Cheryl,Ball,ericwilliams@taylor.com,Clinical biochemist,2025-01-07,160,Merritt Inc,Finance,3028,Large,89.01,Low,Oracle,Justinbury,4,2,2025-04-11 22:04:08.000,1,0.99
647,Linda,Gonzalez,terry92@taylor.net,Horticultural therapist,2025-01-27,140,"Taylor, Jordan and Jordan",Finance,3621,Large,39.09,Low,HubSpot,Port Justintown,2,2,2025-03-20 16:05:31.000,0,0.02
657,Katrina,Lewis,christopher01@hotmail.com,Gaffer,2025-03-17,91,"Jacobs, Hammond and Browning",Technology,1335,Large,40.6,Low,Salesforce,Lake Williamstad,1,1,2025-06-01 09:24:24.000,0,0.06
774,Tammy,Green,douglasmariah@blake.com,Location manager,2025-02-09,127,"Kim, Robbins and Ayala",Technology,551,Large,30.75,Low,Marketo,Michaelview,5,2,2025-04-17 15:44:17.000,1,0.99
890,Vanessa,Schwartz,andersonbrian@rocha.com,Hotel manager,2025-03-16,92,Kennedy-Dean,Technology,1554,Large,71.22,Low,Marketo,Pughtown,1,1,2025-05-14 19:48:18.000,0,0.02
900,Anthony,Schmidt,stephaniepitts@garcia-nunez.com,Field seismologist,2025-02-27,109,Powers Inc,Technology,1821,Large,93.52,Low,Oracle,Garciahaven,2,2,2025-04-15 12:36:27.000,0,0.09
994,Kristen,Sullivan,denise45@king-ewing.com,Health service manager,2025-03-07,101,"Taylor, Newman and Whitehead",Finance,3992,Large,70.58,Low,SAP,Port Jeffery,2,1,2025-03-08 13:03:42.000,0,0.01
913,Michelle,Peterson,huynhkathryn@hotmail.com,"Engineer, production",2025-02-13,123,"English, Shaffer and Morales",Manufacturing,3520,Large,9.01,Low,Marketo,Port Johnbury,4,2,2025-04-27 19:46:38.000,1,0.94
195,John,Foster,andersonjames@gmail.com,Counsellor,2025-02-14,122,Gonzales PLC,Healthcare,1033,Large,10.34,Low,SAP,Bakershire,2,2,2025-05-05 02:30:53.000,0,0.03
618,Donald,Hall,morgansharon@gmail.com,"Research officer, trade union",2025-05-26,21,Edwards-Shaw,Retail,2442,Large,36.44,Low,Salesforce,Alexandertown,5,4,2025-05-19 16:51:42.000,1,0.98
72,Louis,Collins,benjamin54@silva-riley.com,Art therapist,2025-01-17,150,"Ramos, Jackson and Evans",Manufacturing,177,Medium,47.55,Low,Oracle,Jasminefort,3,3,2025-02-24 01:35:34.000,0,0.0
118,Daniel,Soto,chamberssamantha@james.com,"Engineer, building services",2025-02-26,110,Gibson-Rogers,Healthcare,2538,Large,28.48,Low,SAP,Michaelmouth,5,3,2025-02-23 05:53:38.000,1,0.99
199,Robert,Maldonado,cpeterson@yahoo.com,Social researcher,2025-01-18,149,Hudson-Kelly,Technology,1125,Large,5.4,Low,HubSpot,West Jeremiah,1,1,2025-03-08 06:36:51.000,0,0.03
241,Emily,Anderson,bhoward@butler-olson.info,"Administrator, education",2025-04-11,66,Lopez Ltd,Finance,3295,Large,7.4,Low,Oracle,Tamarafurt,1,1,2025-04-16 15:09:21.000,0,0.02
293,Andrew,Sanchez,williamsfrances@gmail.com,Quarry manager,2025-01-28,139,"Hobbs, Munoz and Oliver",Finance,3267,Large,75.04,Low,Oracle,Jessicaberg,2,2,2025-03-20 16:20:43.000,0,0.06
356,Kimberly,Mccarthy,kwallace@yahoo.com,Hydrogeologist,2025-05-28,19,Kline-Lopez,Retail,2642,Large,93.85,Low,Marketo,New Joseland,5,3,2025-05-15 15:48:35.000,1,0.97
385,Loretta,Delacruz,maynardrobert@hotmail.com,"Engineer, land",2025-05-11,36,Ortiz and Sons,Manufacturing,828,Large,85.71,Low,Oracle,Jacksonburgh,3,2,2025-05-18 17:19:17.000,0,0.14
469,Annette,Wall,lisaswanson@yahoo.com,Toxicologist,2025-04-28,49,"Brown, Townsend and Chase",Retail,1060,Large,79.77,Low,Marketo,South Coreychester,4,2,2025-05-29 10:28:06.000,1,0.97
496,Tina,Richmond,villanuevaclifford@zuniga.org,"Investment banker, corporate",2025-06-03,13,"Cox, Smith and Padilla",Technology,1705,Large,35.19,Low,Marketo,New Leslie,5,3,2025-04-18 10:29:17.000,1,0.99
478,Joseph,Hicks,millermichael@murphy.com,Armed forces operational officer,2025-04-18,59,"Gordon, Shah and James",Healthcare,1614,Large,66.05,Low,Marketo,Angelabury,1,1,2025-01-19 01:24:10.000,0,0.01
646,Zachary,Burns,karenhogan@watts-rivera.net,Advertising account planner,2025-02-15,121,Gomez PLC,Finance,2906,Large,62.0,Low,Salesforce,Christophertown,5,3,2025-05-18 04:38:12.000,1,0.98
659,Edward,Anderson,elizabethfreeman@hotmail.com,Interpreter,2025-05-30,17,Collins-Hall,Manufacturing,4080,Large,63.76,Low,Marketo,Brownland,3,3,2025-05-03 11:33:08.000,0,0.08
903,Phillip,Cruz,qbishop@gmail.com,Civil Service administrator,2025-05-07,40,Saunders-Harrison,Healthcare,1048,Large,19.87,Low,SAP,Mcdowellside,5,3,2025-04-28 07:47:34.000,1,0.96
999,Amy,Miller,jenniferfrank@gonzales-king.biz,"Doctor, general practice",2025-04-24,53,Robertson PLC,Technology,941,Large,77.28,Low,Oracle,Port Troybury,3,3,2025-05-18 21:47:42.000,0,0.04
980,Keith,Charles,richardchapman@hodges.com,Nature conservation officer,2025-04-02,75,"Clark, Owens and Johnston",Technology,133,Medium,58.87,Low,Salesforce,Wallsshire,4,3,2025-06-01 11:23:21.000,1,0.83
991,Betty,Medina,claudia26@williams.com,Politician's assistant,2025-03-18,90,Collins-Hall,Manufacturing,4080,Large,63.76,Low,Marketo,Brownland,1,1,2025-05-16 15:15:29.000,0,0.04
12,James,Ibarra,randywilson@gmail.com,Higher education careers adviser,2025-01-11,156,Rodriguez Inc,Manufacturing,615,Large,13.97,Low,HubSpot,Lake Denisemouth,3,2,2025-01-31 21:42:01.000,0,0.07
29,Albert,Farrell,barbaraberg@stein.info,"Therapist, speech and language",2025-02-22,114,Frank Inc,Finance,2357,Large,76.68,Low,HubSpot,South Lori,1,1,2025-04-22 04:47:36.000,0,0.02
31,Joseph,Watson,cynthiapeck@gmail.com,Radiation protection practitioner,2025-05-31,16,Hill-Becker,Healthcare,1561,Large,28.17,Low,Salesforce,Meadowsberg,4,2,2025-05-22 03:14:07.000,1,1.0
153,Tanner,Mack,heatherbrown@valencia.com,"Civil engineer, contracting",2025-04-07,70,"Ramos, Jackson and Evans",Manufacturing,177,Medium,47.55,Low,Oracle,Jasminefort,3,2,2025-05-09 02:12:46.000,0,0.0
263,Nicolas,Harris,mccarthylogan@parker.com,Glass blower/designer,2025-03-30,78,"Ramos, Jackson and Evans",Manufacturing,177,Medium,47.55,Low,Oracle,Jasminefort,1,1,2025-02-23 03:57:25.000,0,0.03
102,Marilyn,Wilkinson,jeremykrueger@hotmail.com,Warden/ranger,2025-01-05,162,"Wilson, Lopez and Doyle",Finance,1162,Large,47.33,Low,Salesforce,Hensleyburgh,2,2,2025-04-09 23:02:22.000,0,0.01
132,Stacey,Chavez,fostercorey@hotmail.com,Industrial/product designer,2025-01-24,143,Mcmahon-Wall,Healthcare,1986,Large,53.35,Low,SAP,Port Elizabeth,2,2,2025-04-28 20:28:43.000,0,0.0
337,William,Gates,michellelopez@adams.org,"Engineer, manufacturing systems",2025-05-17,30,Sandoval Ltd,Technology,1193,Large,37.3,Low,Salesforce,Jacksonhaven,4,2,2025-04-03 10:39:13.000,1,0.99
423,Kayla,Mack,kimberlyrobles@walker-smith.com,Health and safety adviser,2025-05-02,45,"Yang, Giles and Kramer",Retail,2154,Large,74.24,Low,Marketo,Josefort,1,1,2025-01-20 09:00:33.000,0,0.15
455,Gregory,Robertson,wendymartin@yahoo.com,Paramedic,2025-03-16,92,Williams LLC,Technology,929,Large,4.61,Low,Oracle,North Edwinborough,1,1,2025-02-18 21:17:27.000,0,0.04
619,Dennis,Willis,hodgeryan@nguyen.com,Politician's assistant,2025-05-26,21,Orr-Lopez,Healthcare,71,Medium,23.98,Low,Oracle,New Davidside,4,2,2025-05-20 21:18:54.000,1,0.98
794,Jake,Kerr,grimesstephen@yahoo.com,"Designer, jewellery",2025-02-13,123,Olsen-Anderson,Finance,1092,Large,82.47,Low,Salesforce,Port Gina,2,2,2025-02-08 05:00:14.000,0,0.01
799,Jeremy,Miller,yorkmorgan@gmail.com,Event organiser,2025-02-05,131,Watson PLC,Retail,4509,Large,65.56,Low,HubSpot,North Kathybury,3,3,2025-05-24 06:30:13.000,0,0.01
819,Penny,Johnson,joseph24@hotmail.com,Food technologist,2025-03-16,92,Whitehead Inc,Healthcare,915,Large,35.3,Low,Marketo,Tylermouth,5,3,2025-03-25 08:15:01.000,1,0.96
907,Lindsay,Hernandez,jenniferjackson@gmail.com,"Engineer, automotive",2025-02-19,117,Johnson-King,Retail,4542,Large,2.82,Low,SAP,Port Hailey,5,4,2025-05-05 13:29:22.000,1,0.95
713,Ruben,Watson,rileynicole@hotmail.com,"Chemist, analytical",2025-01-18,149,Jacobson PLC,Retail,4824,Large,33.96,Low,Oracle,Mannport,5,2,2025-05-21 17:42:29.000,1,0.97
858,Jennifer,Flores,wanda70@spencer.info,Theatre manager,2025-02-10,126,"Anderson, Chan and Gonzales",Healthcare,2495,Large,3.09,Low,HubSpot,North Mirandaside,5,3,2025-03-22 17:12:39.000,1,0.97
440,Richard,Thomas,ekennedy@hotmail.com,Lexicographer,2025-02-20,116,"Williams, Romero and Harris",Finance,3940,Large,77.6,Low,HubSpot,Jonesborough,2,2,2025-06-06 12:08:17.000,0,0.05
728,Samantha,Banks,stevendelgado@gmail.com,Toxicologist,2025-03-22,86,Chapman Group,Finance,544,Large,12.03,Low,Salesforce,Carmentown,1,1,2025-04-18 18:28:33.000,0,0.01
51,Alexander,Bradley,villadiane@sutton.com,Hydrologist,2025-03-01,107,"Edwards, Schmidt and Newton",Manufacturing,2263,Large,36.87,Low,HubSpot,Jasonville,1,1,2025-01-25 01:59:07.000,0,0.01
